"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,12,"ARG","Argentina",1,"Buenos Aires","AR.BA",NA,"","Provincia","Province","","Baires|Buenos Ayres"
2,12,"ARG","Argentina",2,"Córdoba","AR.CB",NA,"","Provincia","Province","","Cordova"
3,12,"ARG","Argentina",3,"Catamarca","AR.CT",NA,"","Provincia","Province","",""
4,12,"ARG","Argentina",4,"Chaco","AR.CC",NA,"","Provincia","Province","","El Chaco|Presidente Juan Peron"
5,12,"ARG","Argentina",5,"Chubut","AR.CH",NA,"","Provincia","Province","",""
6,12,"ARG","Argentina",6,"Ciudad de Buenos Aires","AR.DF",NA,"","Distrito Federal","Federal District","","BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital"
7,12,"ARG","Argentina",7,"Corrientes","AR.CN",NA,"","Provincia","Province","",""
8,12,"ARG","Argentina",8,"Entre Ríos","AR.ER",NA,"","Provincia","Province","","Entre-Rios"
9,12,"ARG","Argentina",9,"Formosa","AR.FM",NA,"","Provincia","Province","",""
10,12,"ARG","Argentina",10,"Jujuy","AR.JY",NA,"","Provincia","Province","",""
11,12,"ARG","Argentina",11,"La Pampa","AR.LP",NA,"","Provincia","Province","","El Pampa|Eva Perón"
12,12,"ARG","Argentina",12,"La Rioja","AR.LR",NA,"","Provincia","Province","",""
13,12,"ARG","Argentina",13,"Mendoza","AR.MZ",NA,"","Provincia","Province","",""
14,12,"ARG","Argentina",14,"Misiones","AR.MN",NA,"","Provincia","Province","","Missões"
15,12,"ARG","Argentina",15,"Neuquén","AR.NQ",NA,"","Provincia","Province","","Neuquén"
16,12,"ARG","Argentina",16,"Río Negro","AR.RN",NA,"","Provincia","Province","",""
17,12,"ARG","Argentina",17,"Salta","AR.SA",NA,"","Provincia","Province","",""
18,12,"ARG","Argentina",18,"San Juan","AR.SJ",NA,"","Provincia","Province","",""
19,12,"ARG","Argentina",19,"San Luis","AR.SL",NA,"","Provincia","Province","",""
20,12,"ARG","Argentina",20,"Santa Cruz","AR.SC",NA,"","Provincia","Province","",""
21,12,"ARG","Argentina",21,"Santa Fe","AR.SF",NA,"","Provincia","Province","","Santa Fé"
22,12,"ARG","Argentina",22,"Santiago del Estero","AR.SE",NA,"","Provincia","Province","",""
23,12,"ARG","Argentina",23,"Tierra del Fuego","AR.TF",NA,"","Territorio Nacional|Provincia","National Territory","","Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Antártida e Islas del Atlántico Sur"
24,12,"ARG","Argentina",24,"Tucumán","AR.TM",NA,"","Provincia","Province","","Tucumão"
